Year,Month,Day,Lat,Lon,Depth,Mag
2021,1,26,-18.5681,-69.3737,135.4,4.2
2021,1,25,-23.468,-66.721,211,4.5
2021,1,24,-19.883,-66.9989,256.9,4.4
2021,1,24,-15.152,-71.9958,102.5,4.1
2021,1,23,-21.8605,-67.0964,199.8,4
2021,1,22,-20.2475,-70.024,44.2,2.9
2021,1,21,-14.94,-75.5263,10,4.8
2021,1,20,-14.9354,-75.5488,10,5.3
2021,1,20,-15.0155,-75.5223,7.9,5.5
2021,1,20,-14.9977,-75.5846,10,4.8
2021,1,20,-14.9396,-75.557,18.2,5.1
2021,1,19,-22.9641,-66.4356,279.1,4.2
2021,1,19,-23.3915,-66.9452,234.8,4.2
2021,1,19,-17.2452,-72.3851,45.5,4.7
2021,1,18,-23.0737,-66.5528,224.8,4.3
2021,1,13,-20.5928,-66.5275,249.1,4.1
2021,1,13,-23.6925,-64.7452,24.7,4.6
2021,1,12,-21.738,-68.7077,117.3,4.9
2021,1,12,-20.9288,-68.8668,105.6,4.1
2021,1,10,-22.4888,-68.4786,105.1,4.8
2021,1,10,-18.5811,-69.5384,117.3,4.2
2021,1,9,-21.017,-69.4803,96.7,4.1
2021,1,9,-23.6308,-66.8749,211.3,4.5
2021,1,8,-20.3253,-69.9239,43.4,2.6
2021,1,7,-23.3582,-68.5155,109.1,4.2
2021,1,6,-19.5308,-69.2288,101.4,4.8
2021,1,6,-23.0958,-66.4782,212.2,4.6
2021,1,4,-17.2356,-64.431,59.9,4.5
2021,1,4,-19.7552,-69.5327,98.6,4.8
2021,1,2,-23.4957,-68.8815,96.1,4.5
2021,1,2,-22.7534,-68.7585,113,4.4
2021,1,1,-23.501,-68.7724,111.6,4.5
2021,1,1,-15.5297,-73.6546,73.6,4.4
2020,12,31,-22.9622,-66.5889,260.6,4.6
2020,12,31,-16.9667,-73.9851,37.1,4.5
2020,12,31,-15.9227,-75.2599,10,4.4
2020,12,27,-19.0736,-69.412,109.9,5.1
2020,12,27,-22.4428,-67.7986,192.3,4.3
2020,12,27,-16.0229,-74.3083,39,5.7
2020,12,27,-21.2867,-68.5616,135.4,4.2
2020,12,26,-11.3718,-73.3054,10,4.9
2020,12,26,-22.5617,-66.0796,235.3,4.5
2020,12,26,-23.205,-66.5527,232.5,4.6
2020,12,25,-17.5224,-71.2484,75.9,4.5
2020,12,25,-20.9237,-70.5322,25.4,4.3
2020,12,25,-22.4332,-68.5578,105,4.5
2020,12,24,-22.7175,-66.429,273.6,4.1
2020,12,24,-23.0432,-69.8434,77.9,4.1
2020,12,22,-16.2024,-73.0222,120.6,4.1
2020,12,22,-22.8146,-67.5238,200.1,4.1
2020,12,21,-20.2912,-70.0031,20,1.8
2020,12,21,-22.0228,-68.8022,117.7,4.2
2020,12,20,-22.7065,-68.7053,106.1,4.9
2020,12,20,-22.0051,-68.683,121.3,4
2020,12,20,-15.4757,-71.7612,112.9,4.6
2020,12,20,-16.3922,-73.7091,35,4.6
2020,12,20,-21.6971,-67.2046,176.3,4
2020,12,20,-23.1793,-66.8525,243.8,4.3
2020,12,17,-22.7683,-67.7585,166.4,4.3
2020,12,17,-16.6817,-70.1523,162.7,4.2
2020,12,16,-16.5769,-71.4414,90.2,5.6
2020,12,16,-19.7305,-68.7798,122.5,4.4
2020,12,16,-21.0712,-68.0548,185.2,4.3
2020,12,14,-23.0798,-68.1661,137.7,4.1
2020,12,14,-21.8063,-68.7079,114,6
2020,12,14,-22.9546,-66.8578,232.6,4.2
2020,12,14,-20.8007,-70.3382,69.5,3.9
2020,12,13,-20.8094,-68.8624,103.8,4.3
2020,12,13,-21.2709,-67.2763,198.7,4.4
2020,12,12,-20.7378,-70.8534,35,4.1
2020,12,11,-19.2548,-70.2195,52.3,4.5
2020,12,11,-23.158,-66.8911,217.3,4.5
2020,12,10,-20.6072,-69.2357,115.2,4.5
2020,12,9,-21.1386,-68.8913,118.7,4.6
2020,12,8,-22.2708,-67.57,179.8,4.3
2020,12,8,-18.0851,-69.9643,124.1,4.1
2020,12,7,-19.2403,-70.5097,67.1,3.9
2020,12,6,-20.3662,-69.0663,105,6.1
2020,12,5,-21.4152,-68.795,117.5,4.2
2020,12,5,-22.4421,-70.4507,69.2,4.3
2020,12,3,-15.0354,-72.9787,134.8,4.2
2020,12,3,-21.2643,-68.9031,115.6,4.6
2020,12,2,-22.493,-66.1744,257.5,4.3
2020,12,2,-17.7962,-71.3688,69.5,4.7
2020,12,1,-23.2667,-64.9319,18.8,4.1
2020,12,1,-21.5441,-68.5287,115,4.2
2020,11,30,-21.5732,-68.5588,138.3,4.2
2020,11,29,-23.2639,-65.0339,8,5.7
2020,11,28,-22.0021,-68.5188,137.6,4.1
2020,11,27,-15.2692,-72.9932,101.1,4
2020,11,26,-20.1483,-69.2105,99.2,4.3
2020,11,25,-21.0791,-68.6271,150.5,4.3
2020,11,25,-22.2075,-67.565,220.3,4.1
2020,11,25,-17.3042,-66.2075,10,3.1
2020,11,24,-16.2897,-73.791,30.9,4.3
2020,11,24,-22.4597,-68.689,113.6,4.2
